Symbol,DateTime,OptionType,Strike,LTP,IV,Delta,Gamma,Theta,Vega,OpenInterest
RELIANCE,2024-01-01 09:15:00,CE,2500,100.53,20.0,0.583,0.0044,-0.0359,0.0817,9988
RELIANCE,2024-01-01 09:16:00,PE,2500,99.88,19.83,0.476,0.0078,-0.0551,0.1051,9379
RELIANCE,2024-01-01 09:17:00,CE,2500,100.35,20.5,0.455,0.0033,-0.0523,0.0817,9949
RELIANCE,2024-01-01 09:18:00,PE,2500,100.71,21.37,0.491,0.01,-0.031,0.074,9645
RELIANCE,2024-01-01 09:19:00,CE,2500,101.29,19.17,0.567,0.0198,-0.046,0.078,10421
RELIANCE,2024-01-01 09:20:00,PE,2500,100.52,20.59,0.538,0.0127,-0.0492,0.111,10336
RELIANCE,2024-01-01 09:21:00,CE,2500,98.85,19.43,0.445,0.0108,-0.0426,0.049,10344
RELIANCE,2024-01-01 09:22:00,PE,2500,99.53,20.1,0.415,0.0154,-0.0463,0.0619,9801
RELIANCE,2024-01-01 09:23:00,CE,2500,100.35,19.77,0.507,0.0017,-0.0435,0.078,9665
RELIANCE,2024-01-01 09:24:00,PE,2500,99.36,20.28,0.496,0.0132,-0.0549,0.073,9412
RELIANCE,2024-01-01 09:25:00,CE,2500,101.21,19.73,0.546,0.0135,-0.0585,0.0929,10368
RELIANCE,2024-01-01 09:26:00,PE,2500,100.62,19.11,0.523,0.0159,-0.0598,0.1052,8901
RELIANCE,2024-01-01 09:27:00,CE,2500,98.13,18.86,0.483,0.019,-0.0563,0.0994,9676
RELIANCE,2024-01-01 09:28:00,PE,2500,100.61,18.75,0.49,0.0095,-0.0295,0.0824,9863
RELIANCE,2024-01-01 09:29:00,CE,2500,100.37,18.9,0.505,0.0109,-0.0479,0.0904,10377
RELIANCE,2024-01-01 09:30:00,PE,2500,99.85,19.45,0.549,0.0102,-0.0508,0.1006,10356
RELIANCE,2024-01-01 09:31:00,CE,2500,99.3,18.98,0.568,0.0153,-0.0649,0.0971,10061
